ID,Name,Address,City,State,Zip,Classification,Pay_Method,Salary,Hourly,Commission,Route,Account,Birth_Date,SSN,Phone,Email,Start_Date,End_Date,Title,Dept,Permission,Password
688997,Karina Gay,998 Vitae St.,Atlanta,GA,45169,1,1,45884.99,46.92,34,30417353-K,465794-3611,2/23/1984,330-74-2591,(404)460-1161,kaygay@gmail.com,3/18/2010,,Manager,Marketing,admin,t3st!ng*
522759,TaShya D. Snow,2624 Hendrerit St.,College,AK,99789,2,2,50005.5,68.13,25,36644938-8,244269-0000,7/12/2000,196-15-1638,(907)396-8304,TSyhaD@gmail.com,8/8/2009,,Manager,Production,admin,r4nd0mn355
165966,Rooney Alvarado,4963 Nisl. St. Ap #185,Gillette,WY,20226,3,2,34532.37,21.53,24,37324307-8,422046-0739,5/31/1991,940-07-4733,(307)927-2957,RooDoo@yahoo.com,12/5/2010,7/9/2012,Manager,R&D,admin,1954g00dy34r
983010,Jolene Burgess,P.O. Box 873,South Burlington,VT,32036,2,2,20042.77,40.17,23,15300058-1,828625-2906,2/28/1997,641-23-2663,(802)282-1107,Jburg@outlook.com,7/9/2018,,Personnel,HR,admin,P936J?=rX
939825,Yoko M. Pitts,4825 Nec Ave,Meridian,ID,45614,1,1,35251.89,46.64,13,123-123-123,1234-567,4/17/1964,912-86-1176,(208)228-6629,YokoP@gmail.com,7/14/2013,,Accountant,Finance,employee,EaQ^mej6`
379767,Jin W. Morrison,8628 Id St.,Milwaukee,WI,80356,3,1,64467.1,82.98,33,21038669-6,654904-8491,2/14/1964,993-56-6939,(534)228-6629,JinMorrison@yahoo.com,2/15/2017,,Essential Worker,Production,employee,42vYvRynG
900100,Sopoline Bullock,4963 Nisl. St. Ap #579,Idaho Falls,ID,65094,1,2,81929.49,42.76,16,46979340-0,485847-0083,12/28/1995,437-78-4964,(208)464-4981,Sopoline@besties.org,6/19/2011,,Manager,Finance,admin,gqQusT6cQ
969829,Bruce A. Raymond,65009 Iaculis Road,Juneau,AK,99719,1,2,37697.26,17.33,22,28504011-6,397558-4404,11/23/1993,649-26-5233,(907)284-7083,baray@bayray.com,6/3/2015,,Representative,Sales,employee,y3qWNFF2n
283809,Hanae Dickson,1633 Dolor Av.,Dover,DE,61813,1,2,51018.46,91.22,35,48786143-K,295643-0090,1/9/1999,488-84-9564,(302)400-6136,hanae159@gmail.com,12/1/2013,,Personnel,HR,admin,55FKLzkwX
224568,Jenna B. Strickland,70156 Rutrum Street,Phoenix,AZ,86207,1,1,57545.39,24.7,23,33878326-4,248847-6397,1/29/1997,814-73-6515,(602)479-1370,jstrickland@yahoo.com,2/1/2011,8/20/2016,Researcher,R&D,employee,79yhsNEWR
752867,Ruth S. Haley,6384 Risus Av. Ap #943,Waterbury,CT,58012,2,1,61050.17,42.26,24,12046284-9,399575-5166,6/23/2001,772-97-7920,(203)323-7957,ruthh515@gmail.com,8/9/2017,,Personnel,HR,admin,9NcyjDYAQ
163695,Beatrice P. Ware,8903 Eget Rd.,Oklahoma City,OK,20552,1,1,46342.01,86.47,17,26387832-9,212804-3003,12/24/1992,332-27-3225,(405)979-8318,pware21@gmail.com,3/22/2011,,Researcher,R&D,employee,FeBmhsc4r
226423,Randall Horton,3834 Tortor Av.,Topeka,KS,52541,2,2,40872.6,57.05,31,13255163-4,104934-8350,8/11/1990,692-48-7537,(785)471-5496,ranhorton@gmail.com,11/2/2017,,Representative,Sales,employee,5ZdzFp9yC
349833,Damian Garrison,1646 In Street,San Francisco,CA,95787,2,2,99571.55,82.41,19,45550736-7,779184-5410,9/17/1992,806-82-9751,(209)499-9118,damiang@gmail.com,7/9/2018,,Analyst,Marketing,employee,YJjXV9Dqh
531061,Alvin Guerrero,248 Mauris St. Ap #748,Indianapolis,IN,92237,2,2,56430.96,38.42,27,16935557-6,994966-8363,7/11/2000,642-04-7188,(317)446-0544,alving@livinglife.org,7/21/2018,,Analyst,Marketing,employee,Q7Qz5ywEP
169927,Alexandra Y. Duke,P.O. Box 727,Springfield,MA,50647,2,2,31631.98,95.73,13,23609043-4,538878-8548,6/7/1985,193-41-9348,(351)756-3004,dukealex@gmail.com,1/12/2011,,Manager,HR,admin,NFF4mwqb2
454912,Sylvester J. Rowland,8628 Pede Ave,Baltimore,MD,93306,1,1,49570.97,25.2,32,5363288-2,339235-5453,3/24/1938,741-63-2279,(301)718-2026,rowland836@gmail.com,7/13/2020,,Analyst,Marketing,employee,rje4a5PNH
285767,Porter Wolfe,4842 Tincidunt Av.,Miami,FL,44875,1,1,41212.83,87.54,22,16506147-0,087434-1662,5/5/1971,157-58-1208,(305)327-7943,pwolfe48@atlantis.com,9/24/2021,,Representative,Sales,employee,HWm6Nd2Yw
674261,Scott T. Shields,8402 Pretium Rd. Ap #163,Grand Rapids,MI,26321,1,1,86913.93,83.43,15,21871936-8,779622-5618,2/22/2002,253-65-5057,(616)138-6182,stshields@gmail.com,3/30/2020,6/25/2020,Essential Worker,Production,employee,rwdH2EjNh
